Location,Latitude,Longitude
Pereira,4.81,-75.7
Machala,-3.26,-79.96
Tumbes,-3.57,-80.45
Girardot,4.3,-74.8
Chimbote,-9.09,-78.58
Trujillo,-8.12,-79.03
Manta,-0.96,-80.71
Ibarra,0.35,-78.12
Nagda,23.46,75.42
Bokaro,23.79,85.96
Batala,31.82,75.2
Vellore,12.92,79.13
Bijapur,16.82,75.72
Kotli,33.52,73.92
Ponnani,10.77,75.93
Narayanganj,23.61,90.5
Malir Cantonment,24.94,67.21
Gadag,15.43,75.63
Vejalpur,22.69,73.56
Ahmadpur East,29.14,71.26
Jalpaiguri,26.52,88.73
Kohat,33.58,71.45
Dhule,20.9,74.78
Lahore,31.55,74.34
Cochin,9.94,76.26
Katihar,25.54,87.57
Bhiwani,28.79,76.14
Darjiling,27.03,88.27
Alandur,13.0,80.21
Solapur,17.67,75.91
Male,4.17,73.51
Roorkee,29.86,77.89
Gudivada,16.43,81.0
Dehradun,30.32,78.03
General Santos,6.11,125.17
Kota Kinabalu,5.97,116.07
Manila,14.6,120.98
Singaraja,-8.11,115.09
Cotabato,7.22,124.25
Digos,6.75,125.36
Tawau,4.25,117.89
Toledo,10.38,123.64
Gorontalo,0.54,123.06
Marawi City,8.0,124.28
Tagum,7.45,125.81
San Fernando,15.03,120.69
Abbotsford,49.06,-122.25
Lancaster,34.7,-118.14
Seattle,47.61,-122.33
Victoria,48.43,-123.37
Sunrise Manor,36.21,-115.07
Okanagan,50.36,-119.35
Escondido,33.12,-117.09
Modesto,37.64,-121.0
Salinas,36.68,-121.66
Fresno,36.75,-119.77
Sacramento,38.58,-121.49
Coquitlam,49.28,-122.75
Visalia,36.33,-119.29
Santa Rosa,38.44,-122.71
San Luis Rio Colorado,32.46,-114.77
Vancouver,45.64,-122.66
Mesa,33.42,-111.82
Valencia,34.44,-118.61
Pinsk,52.12,26.1
Admiralteisky,59.91,30.28
Arkhangel’sk,64.54,40.54
Homyel,52.43,30.98
Tampere,61.5,23.79
Mazyr,52.05,29.25
Bila Tserkva,49.81,30.11
Serpukhov,54.92,37.41
Moscow,55.75,37.62
Cherkasy,49.43,32.06
Yaroslavl,57.63,39.87
Cherepovets,59.13,37.9
Daugavpils,55.88,26.53
Noginsk,55.87,38.44
Orekhovo-Zuyevo,55.81,38.96
Sergiyev Posad,56.3,38.13
Mahilyow,53.92,30.34
Pskov,57.81,28.35
Velikiye Luki,56.34,30.55
Petrozavodsk,61.78,34.35
Tallinn,59.44,24.75
Riga,56.95,24.11
Kolpino,59.75,30.59
Albacete,38.99,-1.86
El Jadida,33.25,-8.51
Almeria,36.84,-2.46
Mascara,35.4,0.14
Cartagena,37.61,-0.99
Marrakesh,31.63,-8.0
Las Palmas de Gran Canaria,28.1,-15.41
Zaragoza,41.66,-0.88
Santander,43.46,-3.8
Villaverde,40.35,-3.7
Ourense,42.34,-7.86
Valencia,39.47,-0.38
La Laguna,28.49,-16.32
Beni Mellal,32.34,-6.35
Nador,35.17,-2.93
Terrassa,41.57,2.02
Gijon,43.54,-5.66
Khenchela,35.44,7.14
Huelva,37.27,-6.95
Marbella,36.52,-4.89
Oviedo,43.36,-5.84
Setubal,38.52,-8.89
Oujda,34.68,-1.91
Harare,-17.83,31.05
Nakuru,-0.28,36.07
Bethal,-26.46,29.47
Bulawayo,-20.15,28.58
Port Elizabeth,-33.92,25.57
Soweto,-26.27,27.86
Kroonstad,-27.65,27.23
Livingstone,-17.84,25.85
Mombasa,-4.05,39.66
Port Louis,-20.16,57.5
Kaiyuan,42.53,124.04
Dongling,41.81,123.58
Laiyang,36.98,120.71
Changchun,43.88,125.32
Liaoyuan,42.9,125.14
Dunhua,43.37,128.24
Chita,52.03,113.5
Suihua,46.64,127.0
Seoul,37.57,126.98
Lianhe,47.13,129.27
Jeonju,35.82,127.15
Osan,37.15,127.07
Masan,35.21,128.57
Dandong,40.13,124.39
Hailun,47.46,126.95
Zhaodong,46.07,125.98
